,Computer,Amount,links
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00,/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-black-22654156.html
1,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00,/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-white-22654157.html
2,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00,/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-black-41951199.html
3,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00,/lenovo-xt90-in-ear-earphones-5.0-headphones-true-wireless-earbuds-with-touch-control-20914250.html
4,P47 Wireless Headset - White,GH₵ 29.47,/wireless-headset-white-p47-mpg454476.html
5,Nokia 105 (4th Edition) Dual SIM Feature Phone- Charcoal Black,GH₵ 104.00,/105-4th-edition-dual-sim-feature-phone-black-nokia-mpg453273.html
6,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 16.74,/generic-universal-adjustable-desktop-tablet-stands-phone-holder-bracket-for-ipad-phone-tablet-stand-mount-30100742.html
7,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00,/itel-a16-plus-8gb-hdd-1gb-ram-phantom-black-free-gifts-33067473.html
8,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00,/wireless-bluetooth-headset-with-fm-radio-feature-black-p47-mpg440772.html
9,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 51.00,/generic-f9-32-stereo-v5.1-bluetooth-earphone-power-banks-38610988.html
10,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00,/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
11,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 554.00,/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
12,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 562.68,/tecno-spark-go-2021-32gb-hdd-2gb-ram-smartphone-maldives-blue-34311709.html
