,Computer,Amount,links
0,Backpack 3 in 1 Multi Functional School Business Backpack with USB Slot -Black,GH₵ 51.00,https://www.jumia.com.gh/backpack-3-in-1-multi-functional-school-business-backpack-with-usb-slot-black-29807052.html
1,Eaget U96 Pen Drive 3.1- 32GB - Metal OTG Miro USB& TYPE C Flash Drive,GH₵ 21.85,https://www.jumia.com.gh/eaget-u96-pen-drive-3.1-32gb-metal-otg-miro-usb-type-c-flash-drive-10035310.html
2,Joy Star 3-in-1 Multi Functional School Business Backpack with USB - Black,GH₵ 51.00,https://www.jumia.com.gh/joy-star-3-in-1-multi-functional-school-business-backpack-with-usb-black-11795690.html
3,Joy Star 3 in 1 Multifunctional Laptop Backpack with USB Port Set - Grey,GH₵ 51.00,https://www.jumia.com.gh/joy-star-3-in-1-multifunctional-laptop-backpack-with-usb-port-set-grey-31828277.html
4,Backpack 3 in 1 Multi Functional Backpack - Black,GH₵ 58.00,https://www.jumia.com.gh/3-in-1-multi-functional-backpack-with-usb-slot-black-backpack-mpg451749.html
5,Backpack 3 Pcs Anti Theft Laptop/School Bag Backpack - Grey,GH₵ 51.00,https://www.jumia.com.gh/3-pcs-anti-theft-laptopschool-bag-backpack-grey-backpack-mpg454001.html
6,Eaget U96 Pen Drive 3.1- 64GB - Metal OTG Miro USB& TYPE C Flash Drive,GH₵ 32.64,https://www.jumia.com.gh/eaget-u96-pen-drive-3.1-64gb-metal-otg-miro-usb-type-c-flash-drive-10035052.html
7,Colourful LED 2.4G Rechargeable Ultra-thin Wireless Mouse,GH₵ 33.60,https://www.jumia.com.gh/generic-colourful-led-2.4g-rechargeable-ultra-thin-wireless-mouse-22711972.html
8,Joy Star 3 in 1 Anti-Theft Multifunctional School Laptop Backpack with USB Port - Grey,GH₵ 48.00,https://www.jumia.com.gh/joy-star-3-in-1-anti-theft-multifunctional-school-laptop-backpack-with-usb-port-grey-12940492.html
9,Multifunctional Laptop/School Bag Backpack - Dark Blue,GH₵ 58.00,https://www.jumia.com.gh/anti-theft-laptopschool-bag-usb-interface-backpack-dark-blue-white-label-mpg440220.html
10,Single Backpack With USB Port - Black,GH₵ 42.75,https://www.jumia.com.gh/anti-theft-backpack-with-usb-port-black-generic-mpg451788.html
11,3 Pieces Multifunctional Backpack Set - Black,GH₵ 52.25,https://www.jumia.com.gh/3-pieces-multifunctional-backpack-set-black-generic-mpg454908.html
12,Backpack 3 in 1 Versatile Anti-Theft Laptop Backpack Set - Black,GH₵ 50.22,https://www.jumia.com.gh/backpack-3-in-1-versatile-anti-theft-laptop-backpack-set-black-13114277.html
13,"Mtn Universal 4G LTE Mifi for MTN, Vodafone Surfline, AirtelTigo Glo - White / Back",GH₵ 371.07,https://www.jumia.com.gh/mtn-universal-4g-lte-mifi-for-mtn-vodafone-surfline-airteltigo-glo-white-back-36310420.html
14,Portable Mini Handheld Fan with Stand Cradle,GH₵ 18.00,https://www.jumia.com.gh/generic-portable-mini-handheld-fan-with-stand-cradle-30018158.html
