,Laptop,Price
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00
1,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 52.80
2,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
3,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
4,Nokia 105 (4th Edition) Dual SIM Feature Phone- Charcoal Black,GH₵ 104.00
5,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00
6,Itel It 2173 Dual SIM Feature Phone - 512MB ROM - 512MB RAM - Blue,GH₵ 69.00
7,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 251.00
8,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 139.00
9,X-INOVA Magic 6 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Green,GH₵ 285.00
10,X-INOVA Magic 6 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Black,GH₵ 290.00
11,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 105.00
12,Itel 5081 Triple SIM Phone  Wireless FM Radio - Dark Blue,GH₵ 97.00
13,"X Tigi T1 Mini - 1.77"" - Dual SIM Cell Phone - 32MB HDD- 32MB RAM - Blue",GH₵ 88.00
14,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
15,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 542.71
16,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 562.68
17,M40 Pro Android  512gb Dual Sim 6.1 OLed Touch Screen - Orange,GH₵ 499.00
18,Infinix Smart HD X612 (2021) - 32GB HDD - 2GB RAM Smartphone -  Topaz Blue,GH₵ 585.20
19,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 432.00
20,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04
21,XIAOMI Redmi 9A  Smartphone  -  32GB HDD - 2GB RAM -   Granite Gray,GH₵ 635.00
22,Tecno POP 3 (BB2) Dual SIM - 16GB HDD - 1GB RAM Smartphone - Champaign Gold,GH₵ 422.28
23,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Cosmic Shine,GH₵ 432.00
24,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00
25,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00
26,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 34.00
27,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
28,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 52.80
29,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
30,P47 Wireless Headset - White,GH₵ 29.47
31,Nokia 105 (4th Edition) Dual SIM Feature Phone- Charcoal Black,GH₵ 104.00
32,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 16.74
33,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00
34,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 19.00
35,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 32.98
36,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80
37,P47 Top Model Wireless Bluetooth Headset with FM - Black,GH₵ 33.00
38,Lenovo LP40 Bluetooth 5.0  Touch Control Waterproof Earphone headset - White,GH₵ 65.00
39,Pocket Size 3 in 1 Inbuilt USB Cable With LED Display Powerbank - 20000mAh - White,GH₵ 60.00
40,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 65.00
41,"116 Plus Smart Watch - 1.3"" Black",GH₵ 36.00
42,"Universal 30,000mAh Inbuilt 3 in 1USB cable Powerbank - White",GH₵ 82.00
43,Wireless Waterproof HD HIFI In-Ear Earphones,GH₵ 32.00
44,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 105.00
45,"X Tigi T1 - Walkie Talkie Telephone Tri SIM - 2.4"" - 64MB - Black",GH₵ 159.00
46,Itel It 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Grey,GH₵ 73.00
47,Itel 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 90.00
48,Itel It 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Grey + Free MP3 Player,GH₵ 95.00
49,Nokia 110 (2019 Edition) Dual SIM Feature Phone - Black,GH₵ 165.00
50,Itel 2160 Dual Sim Plus FREE P47 Bluetooth Headset - 32MB ROM‎ - 4MB RAM  - Dark Blue,GH₵ 105.00
51,Nokia 105 Dual SIM 4th Edition  - 32MB ROM‎ - 4MB RAM - Black,GH₵ 130.00
52,Itel 2173 Dual SIM Cell Phone - 512MB ROM - 512MB RAM - Grey + Free BT Speaker & Pendrive,GH₵ 140.00
53,Tecno T301 Dual SIM - 4MB ROM - 4MB RAM Feature Phone - Black / Gold,GH₵ 125.00
