,Laptop,Price,link
0,"Apple 2020 MacBook Pro - 512GB SSD 8GB RAM -13.3 -Space-Gray
GH₵ 8,900.00
GH₵ 9,200.00
3%","GH₵ 8,900.00","Apple 2020 MacBook Pro - 512GB SSD 8GB RAM -13.3 -Space-Gray
GH₵ 8,900.00
GH₵ 9,200.00
3%"
1,"Lenovo V14-IGL -14.0″ - Intel N4020 - 4GB DDR4 RAM - 1TB HDD - Grey
GH₵ 2,489.00
GH₵ 2,760.00
10%
4 out of 5
(21)","GH₵ 2,489.00","Lenovo V14-IGL -14.0″ - Intel N4020 - 4GB DDR4 RAM - 1TB HDD - Grey
GH₵ 2,489.00
GH₵ 2,760.00
10%
4 out of 5
(21)"
2,"Hp Laptop - Intel Celeron Core 2 Duo - 4G RAM - 500GB HDD - 15.6” - Windows10 - Silver
GH₵ 1,656.00
GH₵ 2,400.00
31%
1 out of 5
(1)","GH₵ 1,656.00","Hp Laptop - Intel Celeron Core 2 Duo - 4G RAM - 500GB HDD - 15.6” - Windows10 - Silver
GH₵ 1,656.00
GH₵ 2,400.00
31%
1 out of 5
(1)"
3,"Hp Laptop 15.6” - Intel Celeron Core 2 Duo - 4G - 500GB HDD - Windows 10 - Silver
GH₵ 1,622.40
GH₵ 2,400.00
32%
4 out of 5
(1)","GH₵ 1,622.40","Hp Laptop 15.6” - Intel Celeron Core 2 Duo - 4G - 500GB HDD - Windows 10 - Silver
GH₵ 1,622.40
GH₵ 2,400.00
32%
4 out of 5
(1)"
4,"Hp 15 Notebook Laptop -15.6'' - Intel® Celeron® 500GB HDD - 4GB RAM - Windows 10 - Black
GH₵ 2,589.00
GH₵ 2,750.00
6%
4 out of 5
(9)","GH₵ 2,589.00","Hp 15 Notebook Laptop -15.6'' - Intel® Celeron® 500GB HDD - 4GB RAM - Windows 10 - Black
GH₵ 2,589.00
GH₵ 2,750.00
6%
4 out of 5
(9)"
5,"Hp Laptop 15-dw1213nia -15.6'' - Intel Celeron N4020 - 500GB HDD - 4GB RAM - Windows 10 - Black
GH₵ 2,435.00
offers from","GH₵ 2,165.00","Hp Laptop 15-dw1213nia -15.6'' - Intel Celeron N4020 - 500GB HDD - 4GB RAM - Windows 10 - Black
GH₵ 2,435.00
offers from"
6,"Hp Notebook 15-da2937nia - 15.6"" - 10th Gen Core i7-10510U - 8GB RAM - 1TB HDD - Windows 10 - Black
GH₵ 4,750.00
GH₵ 5,400.00
12%
5 out of 5
(3)","GH₵ 4,750.00","Hp Notebook 15-da2937nia - 15.6"" - 10th Gen Core i7-10510U - 8GB RAM - 1TB HDD - Windows 10 - Black
GH₵ 4,750.00
GH₵ 5,400.00
12%
5 out of 5
(3)"
7,"Lenovo Ideapad V14-IGL (82C2) - 14"" - Intel Celeron - 4GB RAM - 1TB HDD - Black
GH₵ 2,165.00
GH₵ 2,199.00
2%
4.8 out of 5
(9)","GH₵ 2,435.00","Lenovo Ideapad V14-IGL (82C2) - 14"" - Intel Celeron - 4GB RAM - 1TB HDD - Black
GH₵ 2,165.00
GH₵ 2,199.00
2%
4.8 out of 5
(9)"
8,"Lenovo IdeaPad 1 11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel N4020 Win10 - Platinum Grey
GH₵ 1,889.00
GH₵ 1,900.00
1%
offers from
4.5 out of 5
(17)
Eligible for free next day delivery for orders above GHS 80 in Accra and Kumasi (Excluding large items)","GH₵ 1,889.00","Lenovo IdeaPad 1 11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel N4020 Win10 - Platinum Grey
GH₵ 1,889.00
GH₵ 1,900.00
1%
offers from
4.5 out of 5
(17)
Eligible for free next day delivery for orders above GHS 80 in Accra and Kumasi (Excluding large items)"
9,"Hp Notebook 15 15-DY2131WM - Core i3-1115G4- 10th Gen- 8GB Ram-256GB SSD- Windows 10 - Silver
GH₵ 3,700.00
GH₵ 4,000.00
8%","GH₵ 3,434.00","Hp Notebook 15 15-DY2131WM - Core i3-1115G4- 10th Gen- 8GB Ram-256GB SSD- Windows 10 - Silver
GH₵ 3,700.00
GH₵ 4,000.00
8%"
