Laptops,Prices,URLs
Hp Laptop 15.6” - Intel Celeron Core 2 Duo - 4G - 500GB HDD - Windows 10 - Silver,"GH₵ 1,622.40",https://www.jumia.com.gh/hp-laptop-15.6-intel-celeron-core-2-duo-4g-500gb-hdd-windows-10-silver-33021134.html
"Lenovo IdeaPad 1 11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel Celeron N4020 Win10 - Platinum Grey","GH₵ 1,859.00",https://www.jumia.com.gh/ideapad-1-11igl05-11.6-4gb-ram-128gb-ssd-intel-celeron-n4020-win10-grey-lenovo-mpg450600.html
"Lenovo Thinkpad X201 - 12"" Intel Core i5 - 4G RAM - 500GB - Win 10 Pro. - Black","GH₵ 1,814.40",https://www.jumia.com.gh/thinkpad-x201-12-intel-core-i5-4g-ram-320gb-win-7-pro.-black-lenovo-mpg453269.html
Lenovo V14-IGL -14.0″ - Intel N4020 - 4GB DDR4 RAM - 1TB HDD - Grey,"GH₵ 2,589.00",https://www.jumia.com.gh/v14-igl-14.0-display-intel-n4020-processor-4gb-ddr4-ram-1tb-grey-lenovo-mpg441883.html
Hp 15-dw1081wm Intel Pentium Gold 6405U Laptop - 4GB DDR4 RAM - 500GB HDD - Windows 10 - Scarlet Red,"GH₵ 2,798.00",https://www.jumia.com.gh/15-dw1081wm-intel-pentium-gold-6405u-laptop-4gb-ddr4-ram-500gb-hdd-windows-10-scarlet-red-hp-mpg441944.html
Hp Pavilion 15- EG1053CL - Touch screen Intel Core i5-11th Gen.12GB RAM 512GB SSD Win 11 - Silver,"GH₵ 5,299.00",https://www.jumia.com.gh/hp-pavilion-15-eg1053cl-touch-screen-intel-core-i5-11th-gen.12gb-ram-512gb-ssd-win-11-silver-40426953.html
10.1 inch Netbook PC - 1GBRAM - 8GB HDD - Android 5.1 ATM7059 - Black,GH₵ 750.00,https://www.jumia.com.gh/generic-10.1-inch-netbook-pc-1gbram-8gb-hdd-android-5.1-atm7059-black-2125446.html
Apple 2020 MacBook Pro - 512GB SSD 8GB RAM -13.3 -Space-Gray,"GH₵ 8,900.00",https://www.jumia.com.gh/apple-2020-macbook-pro-512gb-ssd-8gb-ram-13.3-space-gray-37475684.html
Hp 15 Notebook Laptop -15.6'' - Intel® Celeron® 500GB HDD - 4GB RAM - Windows 10 - Black,"GH₵ 2,789.00",https://www.jumia.com.gh/15-notebook-laptop-15.6-intelr-celeronr-500gb-hdd-4gb-ram-windows-10-black-hp-mpg439272.html
"Lenovo IdeaPad 3 15IGL05 81WQ Intel Celeron N4020 Dual Core - 15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Platinum Grey","GH₵ 2,590.00",https://www.jumia.com.gh/lenovo-ideapad-3-15igl05-81wq-intel-celeron-n4020-dual-core-15.6-4-gb-ram-1-tb-hdd-win-10-pro-platinum-grey-43070848.html
"N1001 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - Pink",GH₵ 719.00,https://www.jumia.com.gh/generic-n1001-netbook-pc-10.1-dual-core-1gb-ram-android-6.0-pink-2121822.html
"Hp Pavilion 14-DQ1043CL - Intel Core i3-1005G1, 8GB, 256GB SSD, Win10, Backlit Keyboard – Silver","GH₵ 3,490.00",https://www.jumia.com.gh/pavilion-14-dq1043cl-intel-core-i3-1005g1-8gb-256gb-ssd-win10-backlit-keyboard-silver-hp-mpg442142.html
Hp Laptop 15-dw1213nia -15.6'' - Intel Celeron N4020 - 500GB HDD - 4GB RAM - Windows 10 - Black,"GH₵ 2,435.00",https://www.jumia.com.gh/laptop-15-dw1213nia-15.6-intel-celeron-n4020-500gb-hdd-4gb-ram-windows-10-black-hp-mpg453494.html
"DELL Vostro 3000 Series - 11th Gen Intel Core i3-1115G4 - 1TB HDD -4GB RAM -15.6"" - Windows 10 - Gray","GH₵ 3,615.00",https://www.jumia.com.gh/dell-vostro-3000-series-11th-gen-intel-core-i3-1115g4-1tb-hdd-4gb-ram-15.6-windows-10-gray-31343477.html
"Hp Notebook 15 - 15.6"" - Intel Celeron N4000 - 1TB HDD - 4GB RAM - Windows 10 - Black","GH₵ 3,000.00",https://www.jumia.com.gh/notebook-15-15.6-intel-celeron-n4000-1tb-hdd-4gb-ram-windows-10-black-hp-mpg440328.html
"Lenovo IdeaPad 1 11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel Celeron N4020 Win10 - Platinum Grey","GH₵ 2,294.00",https://www.jumia.com.gh/lenovo-ideapad-1-11igl05-11.6-4gb-ram-128gb-ssd-intel-celeron-n4020-win10-platinum-grey-36179478.html
LCD Display Global Frequency S 2G 4G LTE 1800MHz Mobile Art Signal Booster Amplifier White,GH₵ 907.45,https://www.jumia.com.gh/generic-lcd-display-global-frequency-s-2g-4g-lte-1800mhz-mobile-art-signal-booster-amplifier-white-43902106.html
Hp 15-da0021ds Intel Pentium Gold 5405U Laptop - TOUCH SCREEN 8GB RAM - 256GB SSD - Win 10 - BLUE,"GH₵ 2,950.00",https://www.jumia.com.gh/hp-15-da0021ds-intel-pentium-gold-5405u-laptop-touch-screen-8gb-ram-256gb-ssd-win-10-blue-40427049.html
"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 - Iron Gray","GH₵ 3,100.00",https://www.jumia.com.gh/lenovo-v15-intel-core-i3-10th-generation-15.6-4-gb-ram-1-tb-hdd-win-10-iron-gray-43945127.html
"Lenovo IdeaPad 330 - 15.6"" - Intel Celeron - 1TB HDD - 4GB DDR4 RAM - Windows 10 - Pentium Gray","GH₵ 2,600.00",https://www.jumia.com.gh/lenovo-ideapad-330-15.6-intel-celeron-1tb-hdd-4gb-ddr4-ram-windows-10-pentium-gray-134271.html
Foldable Laptop/Computer Table - Brown,GH₵ 75.00,https://www.jumia.com.gh/generic-foldable-laptopcomputer-table-brown-44793587.html
Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 8GB RAM - 1TB HDD - 14.0'' LED Screen - Black,"GH₵ 3,570.00",https://www.jumia.com.gh/hp-laptop-14-cf2187nia-10th-generation-intel-core-i3-8gb-ram-1tb-hdd-14.0-led-screen-black-31562448.html
Hp Laptop 17.3 inch - AMD Athlon Silver 3050U - 4GB RAM - 256GB SSD - Windows 10 - Silver,"GH₵ 2,999.00",https://www.jumia.com.gh/hp-laptop-17.3-inch-amd-athlon-silver-3050u-4gb-ram-256gb-ssd-windows-10-silver-43233465.html
"360o Rotating Bluetooth 7 s Backlit Aluminum Keyboard For iPad 9.7"" 2018/iPad 9.7"" 2017/iPad Air/Air 2/Pro 9.7""-Blue (blue)",GH₵ 499.00,https://www.jumia.com.gh/generic-360o-rotating-bluetooth-7-s-backlit-aluminum-keyboard-for-ipad-9.7-2018ipad-9.7-2017ipad-airair-2pro-9.7-blue-blue-29830302.html
Hp Pavilion Gaming -Core i5-10300H - 256SSD- 8GB RAM - 4GB Nvidia- Black,"GH₵ 6,400.00",https://www.jumia.com.gh/pavilion-gaming-core-i5-10300h-256ssd-8gb-ram-4gb-nvidia-black-hp-mpg455211.html
"Hp 15T-ED000 x360 -15"" - Core i7-1065G7+512 SSD+16GB RAM+4GB NVIDIA MX330 - Windows 10 -Silver","GH₵ 9,800.00",https://www.jumia.com.gh/hp-15t-ed000-x360-15-core-i7-1065g7512-ssd16gb-ram4gb-nvidia-mx330-windows-10-silver-30616503.html
Hp Pavilion 15-er0125od x360 - Intel Core i5 - 8GB RAM - 256GB SSD Touchscreen - Silver,"GH₵ 5,000.00",https://www.jumia.com.gh/hp-pavilion-15-er0125od-x360-intel-core-i5-8gb-ram-256gb-ssd-touchscreen-silver-42403162.html
