,name,Price
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 61.44
1,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04
2,P47 Wireless Foldable Bluetooth Headset -   Black,GH₵ 28.00
3,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 268.18
4,Xiaomi Redmi 9A  Smartphone  -  32GB HDD - 2GB RAM -  Sky Blue,GH₵ 686.36
5,Samsung Micro SD Memory Card - 64GB - Red/White,GH₵ 48.00
6,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 33.60
7,116Plus Digital Smart Watch 116 Plus- Black,GH₵ 35.00
8,F9 V5.1 Wireless Bluetooth Digital Display earphone -Black,GH₵ 65.00
9,Oraimo FreePods3 True Wireless Stereo Earbuds - Black,GH₵ 168.96
10,IOOIOO F9 Bluetooth Earbuds - Black,GH₵ 65.00
11,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 32.98
12,Itel It 2173 Dual SIM Feature Phone - 512MB ROM - 512MB RAM - Blue,GH₵ 86.33
13,MicroSDHC Card – 64GB Black,GH₵ 46.50
14,Air Pro 6 Bluetooth Headset 5.0 Stereo Sport Music Earphones With Mic For IOS Android IPhone,GH₵ 49.00
15,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 61.44
16,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 43.00
17,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 268.18
18,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 33.60
19,Lenovo LP40 Bluetooth 5.0 True Wireless Sport Headset -  White,GH₵ 65.00
20,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 454.55
21,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 53.76
22,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
23,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 37.00
24,Pro 6 Bluetooth Earphone - White,GH₵ 49.00
25,Samsung Galaxy A125F/DS  -  128GB HDD  -  4GB RAM Smartphone  -  Black,"GH₵ 1,064.77"
26,F9 V5.1 Wireless Bluetooth Digital Display earphone -Black,GH₵ 65.00
