,Device Names,Discount Prices
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00
1,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00
2,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
3,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
4,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
5,F9 Bluetooth Earphone - Black,GH₵ 59.00
6,P47 Wireless Headset - White,GH₵ 29.47
7,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80
8,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 18.00
9,Wireless Headphone Bluetooth 5.0 In-ear Stereo,GH₵ 45.00
10,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 34.00
11,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 32.00
12,Smart Bluetooth watches for ios and Android bands,GH₵ 33.00
13,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 33.00
14,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 87.00
15,Lenovo TC02 Wireless Bluetooth Headset Similar To Xiaomi Aird Ots,GH₵ 251.00
16,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 30.00
17,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 29.00
18,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 43.00
19,Lenovo XT90 BT5.0 True Wireless Headsets In-ear Sweatproof white,GH₵ 55.00
20,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 58.00
21,Wireless Bluetooth Earphones - White,GH₵ 45.00
22,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 542.71
23,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 65.00
24,M11 T-WS LCD Bluetooth 5.0 Wireless Headphones - Black,GH₵ 51.00
25,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 35.00
26,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 34.00
27,Heart Rate Sport Bracelet Smart Watch - Black,GH₵ 32.00
28,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 35.00
29,3 in 1 Wireless Bluetooth Selfie Stick Foldable Mini Tripod,GH₵ 41.00
30,Bluetooth Wireless  Headphone Stereo In-ear Headphone LED digital display,GH₵ 33.00
31,Wireless Bluetooth Headset 2000mAh - Black,GH₵ 75.00
32,Color screen smart watch heart rate sport bracelet,GH₵ 28.00
33,T7S Wireless  Bluetooth Earpiece  - White,GH₵ 47.00
34,New I5 Smartwatch - Pink,GH₵ 19.00
35,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 38.00
36,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 43.00
37,Pro 6 Bluetooth Earphone - White,GH₵ 49.00
38,"GT20 1.69 inch TFT Screen IP67 Waterproof Smart Watch, Style:Steel Strap(Black)",GH₵ 121.00
39,2Pcs Portable Speaker High-Volume Subwoofer USB-Black,GH₵ 35.00
